metric	zero_shot	lora	delta
n_images	30	30	+0
mean_intra_cos	0.33415	0.351246	+0.0170953
median_intra_cos	0.301973	0.320603	+0.0186302
mean_eff_rank	0.443729	0.44196	-0.00176898
mean_pos_cos	0.895549	0.899684	+0.00413525
median_pos_cos	0.933714	0.936089	+0.0023753
mean_neigh_dominance	0.984481	0.984396	-8.5034e-05
